customerID,gender,SeniorCitizen,Dependents,tenure,PhoneService,MultipleLines,OnlineBackup,DeviceProtection,TechSupport,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges,Churn,ChurnFlag,CustomerStatus,TenureBand,RiskScore,RiskSegment,EstMonthlyValue,RevenueAtRisk
7590-VHVEG,Female,0,No,1,No,No phone service,Yes,No,No,No,Month-to-month,Yes,Electronic check,29.85,No,0,Retained,0-12 months (New),11,High Risk,29.85,0.0
5575-GNVDE,Male,0,No,34,Yes,No,No,Yes,No,No,One year,No,Mailed check,1889.5,No,0,Retained,25-48 months,4,Medium Risk,55.5735294117647,0.0
3668-QPYBK,Male,0,No,2,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,108.15,Yes,1,Churned,0-12 months (New),9,High Risk,54.075,54.075
7795-CFOCW,Male,0,No,45,No,No phone service,No,Yes,Yes,No,One year,No,Bank transfer (automatic),1840.75,No,0,Retained,25-48 months,2,Low Risk,40.90555555555556,0.0
9237-HQITU,Female,0,No,2,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,151.65,Yes,1,Churned,0-12 months (New),11,High Risk,75.825,75.825
9305-CDSKC,Female,0,No,8,Yes,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,820.5,Yes,1,Churned,0-12 months (New),11,High Risk,102.5625,102.5625
1452-KIOVK,Male,0,Yes,22,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),1949.4,No,0,Retained,13-24 months,7,High Risk,88.60909090909091,0.0
6713-OKOMC,Female,0,No,10,No,No phone service,No,No,No,No,Month-to-month,No,Mailed check,301.9,No,0,Retained,0-12 months (New),8,High Risk,30.189999999999998,0.0
7892-POOKP,Female,0,No,28,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,3046.05,Yes,1,Churned,25-48 months,7,High Risk,108.78750000000001,108.78750000000001
6388-TABGU,Male,0,Yes,62,Yes,No,Yes,No,No,No,One year,No,Bank transfer (automatic),3487.95,No,0,Retained,49+ months (Loyal),3,Low Risk,56.25725806451613,0.0
9763-GRSKD,Male,0,Yes,13,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,587.45,No,0,Retained,13-24 months,7,High Risk,45.18846153846154,0.0
7469-LKBCI,Male,0,No,16,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),326.8,No,0,Retained,13-24 months,2,Low Risk,20.425,0.0
8091-TTVAX,Male,0,No,58,Yes,Yes,No,Yes,No,Yes,One year,No,Credit card (automatic),5681.1,No,0,Retained,49+ months (Loyal),4,Medium Risk,97.95,0.0
0280-XJGEX,Male,0,No,49,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),5036.3,Yes,1,Churned,49+ months (Loyal),7,High Risk,102.78163265306122,102.78163265306122
